ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Category
Tonga-13_chin-1,,Tonga,13_chin,mweebo,mweebo,mʷ eː b o,,Sawka2019,,,^ mw ee b o $,default,Body Part
MukuniMarch-13_chin-1,,MukuniMarch,13_chin,kalezu,kalezu,k a l e z u,,Sawka2019,,,^ k a l e z u $,default,Body Part
Mukuni-13_chin-1,,Mukuni,13_chin,kalezu,kalezu,k a l e z u,,Sawka2019,,,^ k a l e z u $,default,Body Part
Sekute2013-13_chin-1,,Sekute2013,13_chin,chilezu,chilezu,tʃʰ i l e z u,,Sawka2019,,,^ ch i l e z u $,default,Body Part
Sekute-13_chin-1,,Sekute,13_chin,chilezu,chilezu,tʃʰ i l e z u,,Sawka2019,,,^ ch i l e z u $,default,Body Part
Musukotwani-13_chin-1,,Musukotwani,13_chin,chilezu,chilezu,tʃʰ i l e z u,,Sawka2019,,,^ ch i l e z u $,default,Body Part
Ila-13_chin-1,,Ila,13_chin,mweezhi,mweezhi,mʷ eː zh/dʒ i,,Sawka2019,,,^ mw ee zh i $,default,Body Part
Lozi-13_chin-1,,Lozi,13_chin,mulelu,mulelu,m u l e l u,,Sawka2019,,,^ m u l e l u $,default,Body Part
Chewa-13_chin-1,,Chewa,13_chin,kayeko,kayeko,k a y e k o,,Sawka2019,,,^ k a y e k o $,default,Body Part
Nkoya2-13_chin-1,,Nkoya2,13_chin,mumbanga,mumbanga,m u ⁿb a ⁿg a,,Sawka2019,,,^ m u mb a ng a $,default,Body Part
Tonga-14_ear-1,,Tonga,14_ear,kutwe,kutwe,k u tʷ e,,Sawka2019,,,^ k u tw e $,default,Body Part
MukuniMarch-14_ear-1,,MukuniMarch,14_ear,kutwi,kutwi,k u tʷ i,,Sawka2019,,,^ k u tw i $,default,Body Part
Mukuni-14_ear-1,,Mukuni,14_ear,itwi,itwi,i tʷ i,,Sawka2019,,,^ i tw i $,default,Body Part
Sekute2013-14_ear-1,,Sekute2013,14_ear,kutwi,kutwi,k u tʷ i,,Sawka2019,,,^ k u tw i $,default,Body Part
